Continent,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture
Africa,8.67,8.83,8.67,8.75,8.5,8.42,8.75,90.58,0.12
Africa,8.75,8.67,8.5,8.58,8.42,8.42,8.58,89.92,0.12
Africa,8.17,8.58,8.42,8.42,8.5,8.25,8.67,89,0.11
Africa,8.25,8.5,8.25,8.5,8.42,8.33,8.58,88.83,0.12
Africa,8.25,8.33,8.5,8.42,8.33,8.5,9,88.67,0.03
Africa,8.67,8.67,8.58,8.42,8.33,8.42,8.67,88.42,0.03
Africa,8.08,8.58,8.5,8.5,7.67,8.42,8.5,88.25,0.1
Africa,8.17,8.67,8.25,8.5,7.75,8.17,8.58,88.08,0.1
Africa,8.25,8.33,8.5,8.25,8.58,8.75,8.5,87.83,0.05
Africa,8.17,8.33,8.25,8.33,8.42,8.33,8.83,87.33,0.05
Africa,8.17,8.17,8,8.17,8.08,8.33,8.33,87.25,0
Africa,8.42,8.17,7.92,8.17,8.33,8,8.08,87.08,0.11
Africa,7.83,8.25,8.08,8.17,8.17,8.17,8.25,86.92,0.05
Africa,8.42,8.17,8.17,8.17,7.83,7.92,8.17,86.83,0.12
North America,8.17,8.08,8.08,8,8.08,8,8.25,86.67,0.1
North America,7.92,8.25,8,8.33,8,8.08,8,86.58,0.08
Africa,8,8.08,7.92,8,8.08,8.08,8.08,86.25,0.1
Africa,8.08,8,8,8.25,7.92,7.92,8.08,86.25,0.12
Africa,7.92,7.75,8.08,8.08,8.08,8.17,8.17,86.25,0.1
Africa,8.08,8.08,8,8,7.83,8.08,8,86.08,0.11
Africa,8.08,8.08,7.83,7.92,8.08,7.92,8.08,86,0
Africa,7.92,8.17,7.83,8.5,7.5,7.92,8.17,86,0.11
Africa,8.25,8,7.83,8.08,8,7.92,7.92,86,0.1
Africa,7.75,8.08,8,8.25,8,8,7.92,86,0.01
Africa,8.17,8.17,7.92,8.08,7.83,7.75,8,85.92,0.12
Africa,7.83,8.08,7.92,8.08,8,7.92,8,85.83,0.1
Africa,7.83,8,7.83,8.17,7.92,8,8,85.75,0.09
North America,7.92,8.17,8,7.92,7.75,7.83,8,85.58,0.1
North America,7.83,8,8,7.75,7.92,8.17,7.92,85.58,0.11
Africa,7.92,7.92,7.83,8.08,7.83,7.92,8,85.5,0.1
Africa,7.83,8,7.83,7.92,7.83,8.08,8,85.5,0.12
Africa,8.33,7.92,7.67,7.92,7.67,7.92,8.08,85.5,0.12
Africa,7.75,7.83,7.83,8.17,7.92,7.83,8.08,85.42,0.1
Africa,8.08,8,7.83,7.67,8,7.83,8,85.42,0.12
North America,8.08,7.83,7.83,8.08,7.83,7.83,7.92,85.42,0.01
Africa,7.83,8.08,7.75,8.08,7.92,7.75,7.92,85.33,0
Africa,8,7.92,7.92,8.08,7.83,7.75,7.83,85.33,0
Africa,7.83,7.83,7.92,8.08,7.75,7.83,8.08,85.33,0.05
Africa,7.92,7.83,7.75,8.33,7.75,7.75,8,85.33,0.1
Africa,7.75,8,7.58,8,8,7.92,7.83,85.08,0.11
Africa,8.42,8,7.42,8,7.92,7.92,8.08,85.08,0.1
Africa,7.67,8,7.83,8,7.92,7.83,7.83,85.08,0
Africa,8.17,7.92,7.75,7.75,7.67,7.75,8,85,0.11
Africa,8.17,7.83,7.92,7.75,7.67,7.83,7.83,85,0.11
Africa,7.75,7.83,7.75,8.08,8,7.75,7.83,85,0
Africa,8,7.67,7.83,8.17,7.92,7.75,7.58,84.92,0.06
Africa,7.75,7.92,7.67,7.67,8.25,7.75,7.83,84.83,0.12
Africa,7.75,7.92,7.83,7.92,7.75,7.67,8,84.83,0.1
Africa,7.42,7.92,7.92,8,7.83,7.83,7.92,84.83,0.1
Africa,7.92,7.83,7.58,7.92,7.75,7.83,7.92,84.75,0.13
North America,7.83,7.75,8,7.67,7.67,7.67,8.17,84.75,0.11
North America,7.75,8,8,8.33,7.67,7.92,7.75,84.75,0.15
North America,7.83,7.58,7.58,7.83,7.75,7.67,8.5,84.75,0.18
North America,7.83,7.83,7.5,8,7.83,7.67,8,84.67,0
Africa,8.08,7.83,7.75,7.83,7.58,7.67,7.92,84.67,0.1
Africa,7.75,7.92,7.83,8,7.58,7.75,7.83,84.67,0.11
Africa,7.92,7.83,7.75,7.92,7.67,7.75,7.83,84.67,0.11
Africa,7.42,7.75,7.75,8,8,7.92,7.83,84.67,0.2
Africa,7.92,7.75,7.83,7.75,7.58,7.92,7.83,84.58,0.11
Africa,7.83,7.83,7.83,7.75,7.58,7.83,7.92,84.58,0.1
Africa,7.75,7.75,7.75,8.08,7.75,7.75,7.75,84.58,0
Africa,7.92,7.75,7.67,7.75,7.83,7.75,7.83,84.5,0.11
Africa,7.92,7.83,7.67,8,7.67,7.75,7.67,84.5,0.11
Africa,7.5,7.75,7.83,7.92,7.92,7.75,7.75,84.42,0.2
Africa,7.33,7.58,7.83,7.75,7.75,7.92,8.17,84.33,0.11
North America,7.92,8,7.75,7.67,7.67,7.75,7.58,84.33,0.1
North America,7.58,7.92,7.58,7.75,7.92,7.75,7.83,84.33,0.11
Africa,7.75,7.75,7.92,7.75,7.5,7.92,7.75,84.33,0
Africa,8.17,7.75,7.58,7.67,7.83,7.58,7.67,84.25,0.13
North America,7.67,7.83,7.83,7.5,7.67,7.83,7.83,84.17,0.12
Africa,7.5,7.92,7.58,7.83,7.75,7.83,7.75,84.17,0.1
Africa,7.58,7.75,7.75,7.75,7.75,7.83,7.75,84.17,0.08
North America,8.42,8.08,7.5,7.17,7.58,8.17,7.92,84.17,0.11
Africa,7.83,7.75,7.5,7.83,7.83,7.75,7.67,84.17,0.11
Africa,7.92,7.92,7.83,8,7.92,7.92,7.92,84.08,0.09
Africa,7.83,7.75,7.67,7.75,7.33,7.75,7.92,84,0.11
North America,7.42,7.83,7.75,7.92,7.75,7.58,7.75,84,0.1
Africa,7.75,7.75,7.5,7.58,7.67,7.92,7.83,84,0.09
Africa,7.67,7.83,7.5,7.75,7.92,7.67,7.67,84,0
Africa,7.67,7.75,7.67,7.75,7.83,7.67,7.67,84,0
Africa,7.92,7.75,7.58,7.67,7.67,7.83,7.58,84,0.1
Africa,7.75,7.75,7.67,7.67,7.58,7.67,7.75,83.83,0.12
Africa,7.58,7.83,7.58,8,7.83,7.5,7.5,83.83,0.1
Africa,7.75,7.58,7.5,7.58,7.75,7.75,7.83,83.75,0.11
Africa,8,7.92,7.58,7.75,7.33,7.5,7.67,83.75,0.12
Africa,8.08,7.67,7.67,7.58,7.25,7.67,7.75,83.67,0.11
North America,7.5,7.5,7.67,7.67,8,8,7.33,83.67,0.1
North America,7.67,7.75,7.67,7.67,7.83,7.58,7.5,83.67,0.1
Africa,7.75,7.67,7.58,7.67,7.5,7.67,7.75,83.58,0
Africa,7.67,7.67,7.42,7.75,7.75,7.67,7.67,83.58,0.12
Africa,7.67,7.75,7.5,7.58,7.75,7.67,7.58,83.5,0.1
North America,7.67,7.5,7.67,7.5,7.67,7.67,7.83,83.5,0.1
Africa,7.58,7.75,7.33,7.75,7.67,7.58,7.75,83.42,0.11
North America,7.58,7.5,7.75,7.58,7.75,7.67,7.58,83.42,0.11
Africa,7.5,7.67,7.67,7.42,7.67,7.67,7.67,83.25,0.12
North America,7.67,7.67,7.5,7.67,7.5,7.67,7.5,83.17,0.11
North America,7.5,7.5,7.33,7.67,8,7.67,7.5,83.17,0
Africa,7.83,7.75,7.67,7.75,7.83,8.5,7.83,83.17,0.1
Africa,8,7.67,7.5,7.42,7.33,7.58,7.67,83.17,0.1
North America,7.5,7.5,7.5,7.67,7.67,7.67,7.67,83.17,0.1
North America,7.67,7.67,7.5,7.67,7.5,7.67,7.5,83.17,0.11
North America,7.42,7.83,8.17,8.08,7.17,7.58,7.58,83.17,0.14
Africa,7.75,8,7.67,8.08,7.83,7.92,7.92,83.17,0.01
Africa,7.67,7.58,7.42,7.42,7.83,7.5,7.58,83,0.12
Africa,7.67,7.67,7.5,7.58,7.42,7.5,7.67,83,0.12
Africa,7.83,7.58,7.5,7.5,7.58,7.5,7.5,83,0.12
North America,7.58,7.83,7.75,7.92,7.92,8.08,7.92,83,0.07
North America,7.5,7.5,7.75,7.58,7.92,7.83,7.5,82.92,0
Africa,7.58,7.58,7.5,7.5,7.58,7.58,7.58,82.92,0
Africa,8,7.5,7.5,7.58,7.33,7.42,7.58,82.92,0.12
Africa,7.75,7.58,7.58,7.5,7.5,7.5,7.5,82.92,0.12
Africa,7.75,7.58,7.42,7.58,7.5,7.5,7.5,82.83,0.1
North America,7.33,7.67,7.67,7.83,7.33,7.67,7.33,82.83,0
North America,7.75,7.58,7.75,7.75,7.25,7.5,7.25,82.83,0
North America,7.67,7.67,7.17,7.33,7.58,7.67,7.67,82.75,0
North America,7.58,7.5,7.42,7.58,7.5,7.5,7.67,82.75,0.09
North America,7.67,7.67,7.67,7.67,7.5,7.67,7.5,82.67,0
Africa,7.67,7.5,7.33,7.67,7.5,7.5,7.5,82.67,0.12
North America,7.92,8,7.5,6.75,7.92,7.58,7.67,82.67,0
Africa,7.83,7.5,7.42,7.58,7.42,7.42,7.42,82.58,0.12
North America,7.58,7.58,7.33,7.5,7.5,7.5,7.5,82.5,0.1
North America,7.42,7.67,7.17,7.58,7.58,7.5,7.5,82.42,0.12
North America,7.25,7.67,7.42,7.17,7.75,7.5,7.67,82.42,0.09
North America,7.5,7.58,7.33,7.5,7.42,7.42,7.58,82.33,0.1
North America,7.58,7.67,7.5,7.67,7.83,8.42,7.58,82.25,0.12
North America,7.58,7.5,7.42,7.58,7.42,7.42,7.33,82.25,0.11
North America,7.75,7.33,7.33,7.5,7.5,7.5,7.33,82.25,0
North America,7.5,7.5,7.17,7.42,7.5,7.5,7.58,82.17,0.11
North America,7.5,7.5,7.33,7.42,7.5,7.42,7.5,82.17,0.1
North America,7.67,7.5,7.25,7.42,7.58,7.42,7.33,82.17,0.11
North America,7.5,7.5,7.17,7.5,7.5,7.42,7.42,82,0.12
North America,7.5,7.5,7.25,7.33,7.42,7.5,7.5,82,0.1
North America,7.33,7.33,7.33,7.5,7.5,7.83,7.17,82,0.11
North America,7.58,7.5,7.25,7.33,7.42,7.5,7.33,81.92,0.12
North America,7.67,7.58,7.33,7.5,7.5,7.67,7.33,81.92,0.11
North America,7.58,7.42,7.25,7.17,7.5,7.67,7.33,81.92,0.12
North America,7.42,7.33,7.33,7.58,7.33,7.5,7.42,81.92,0.11
North America,7.5,7.5,7.33,7.5,7.42,7.25,7.33,81.83,0.12
North America,7.5,7.5,7.33,7.33,7.33,7.33,7.5,81.83,0.1
North America,7.58,7.5,7.33,7.33,7.42,7.25,7.25,81.67,0.11
North America,7.58,7.5,7.25,7.25,7.5,7.25,7.33,81.67,0.1
North America,7.5,7.33,7.5,7.5,7.17,7.17,7.5,81.67,0.1
North America,7.5,7.42,7.08,7.42,7.5,7.33,7.33,81.58,0.11
North America,7.5,7.42,7.33,7.33,7.25,7.33,7.33,81.5,0.11
North America,7.5,7.5,7.33,7.42,7.17,7.25,7.33,81.5,0.1
North America,7.5,7.33,7.17,7.25,7.5,7.42,7.25,81.42,0.12
North America,7.5,7.5,7,7.17,7.5,7.33,7.33,81.33,0.11
North America,7.58,7.42,7.17,7.42,7.17,7.17,7.42,81.33,0.09
North America,7.33,7.33,7.17,7.33,7.5,7.33,7.33,81.33,0.12
North America,7.08,7.5,7.33,7.17,7.42,7.25,7.5,81.25,0.1
North America,7.42,7.17,7.17,7.5,7.33,7.25,7.42,81.25,0.12
North America,7.33,7.5,7.17,7.17,7.58,7.17,7.25,81.17,0.09
North America,7.42,7.33,7,7.42,7.33,7.33,7.33,81.17,0.13
Africa,7.42,7.33,7.17,7.33,7.42,7.17,7.25,81.08,0.11
North America,7.33,7.33,7.33,7.42,7.33,7.33,7,81.08,0.11
North America,7.42,7.08,7.08,7.33,7.25,7.58,7.25,81,0
North America,7.42,7.25,7.25,7.33,7.25,7.17,7.33,81,0.12
Africa,7.33,6.92,7.17,7.33,7.42,7.42,7.42,81,0.12
Africa,7.17,7.58,7.5,7.5,8,7.75,5.42,80.92,0.11
North America,7.33,7.08,7.25,7,7.5,7.42,7.33,80.92,0.1
North America,7.25,7.25,7.17,7.25,7.33,7.25,7.25,80.75,0.12
North America,7.5,7.33,7,7.42,7.25,7.17,7.08,80.75,0.11
North America,7.42,7.17,7.08,7.42,7.25,7.25,7.17,80.75,0.09
North America,7.25,7.33,7.08,7.5,7.25,7.33,7,80.75,0.13
North America,7.08,7.5,7,7.25,7.42,7,7.33,80.58,0.11
North America,7.5,7.17,7,7.42,7.33,7,7.17,80.58,0.11
North America,7.58,7.33,7,7.17,7.33,7.08,7,80.5,0.11
North America,7.25,7.42,7,7.42,7.33,7,7,80.42,0.1
North America,7.33,7.17,7.08,7.08,7.33,7.17,7.25,80.42,0
Africa,7.25,7.25,7.25,7.33,7.5,8,7.08,80.33,0.1
North America,7.25,7.25,7,7,7.42,7,7.33,80.25,0.1
North America,7.08,6.92,7,7.25,7.5,7.25,7.25,80.25,0.11
North America,7.17,7.08,7.08,7.33,7.25,7.08,7.17,80.17,0.11
North America,7.25,7.25,7,7.17,7.08,7.08,7.33,80.17,0.11
North America,7.25,7.17,6.92,7.25,7.17,7.25,7.08,80.08,0.1
North America,7.33,7.08,6.92,7.08,7.42,7.17,7,80,0.1
Africa,7.42,7.42,7.5,7.92,7.75,7.58,7.75,80,0.05
Africa,7,7.08,7,7.17,7.25,7.25,7.08,79.83,0.11
North America,6.83,7.17,7.17,6.92,7.5,7.08,7.17,79.83,0.11
North America,7.25,7.08,7,6.83,7.33,7.17,7,79.67,0
North America,6.92,6.92,7,7.42,7.25,7,7,79.5,0.12
North America,7.58,7,6.75,6.92,7,6.92,7,79.17,0.11
North America,7,7,7,7,7,7,7,79,0.11
North America,7.17,7,6.92,7,7,7,6.75,78.83,0.1
North America,7.08,7,6.75,6.83,7.08,6.92,6.92,78.58,0.1
North America,6.83,7.08,6.92,6.75,7.25,7.08,6.67,78.58,0.11
North America,6.83,7,6.67,7,7,6.83,6.67,78,0.11
North America,7.42,7,7,7.17,7.08,7,7.17,77.83,0.1
North America,6.83,6.83,6.67,6.83,7,6.83,7,76,0.11
North America,7,7.17,6.83,7.17,7,7.17,7.08,73.42,0.11
North America,6.67,6.5,6.17,6.67,6.83,6.17,6.33,69.33,0.1
North America,7,6.17,6.17,6.67,6.5,6.17,6.5,69.17,0.1
North America,7,6.33,6.17,6.5,6.67,6.17,6.33,69.17,0.1
North America,7.25,6.58,6.33,6.25,6.42,6.08,6.17,63.08,0.13